Name,Organization,Year Elected,Residency
Daniel Drake,APS,1818,Resident
Nicholas Fuss,APS,1818,International
Paul Jackson,APS,1818,Resident
Josiah Meigs,APS,1818,Resident
Noel de la Moriniere,APS,1818,International
Joseph Swain,APS,1818,James G. Thomson
Gotthilf Fischer Von Waldheim,APS,1818,International
John C. Warren,APS,1818,Resident
Johann A. Albers,APS,1819,International
Henri M. Ducrotay de Blainville,APS,1819,International
Alexandre Brongniart,APS,1819,International
Redmond Conyngham,APS,1819,Resident
Anselme G. Desmarest,APS,1819,International
William P. Dewees,APS,1819,Resident
John Eberle,APS,1819,Resident
Stephan Elliot,APS,1819,Resident
L.H. Girardin,APS,1819,Resident
William E. Horner,APS,1819,Resident
Louis M. Langles,APS,1819,International
Comte de Jean D. Lanjuinais,APS,1819,International
Pierre A. Latreille,APS,1819,International
John Murray,APS,1819,International
Jacob Perkins,APS,1819,Resident
Fred C. Schaeffer,APS,1819,Resident
Guillaume T. Tilesius,APS,1819,International
Roberts Vaux,APS,1819,Resident
Franklin Bache,APS,1820,Resident
John J. Berzelius,APS,1820,International
J.A. Borgnis,APS,1820,International
William Gibson,APS,1820,Resident
Baron von Joseph Hormayr,APS,1820,International
Samuel F. Jarvis,APS,1820,Resident
Matthew Lesseps,APS,1820,International
Isaiah Lukens,APS,1820,Resident
William Marsden,APS,1820,International
Jacques P. Merigon de Montgery,APS,1820,International
John Pickering,APS,1820,Resident
William Strickland,APS,1820,Resident
Peter Afzelius,APS,1821,International
Clement C. Biddle,APS,1821,Resident
Elisha De Butts,APS,1821,Resident
Mathew Carey,APS,1821,Resident
Langdon Cheves,APS,1821,Resident
John B. Gibson,APS,1821,Resident
Levitt Harris,APS,1821,Resident
George A. Otis,APS,1821,Resident
Count Gustavus Wetterstedt,APS,1821,International
James Workman,APS,1821,Resident
Sir James Wylie,APS,1821,International
Solomon W. Conrad,APS,1822,Resident
Jose B. de Andrada e Silva,APS,1822,International
Richard Harlan,APS,1822,Resident
Baron von Wilhelm Humboldt,APS,1822,International
William H. Keating,APS,1822,Resident
Zacharias Nordmark,APS,1822,International
Samuel Parkes,APS,1822,International
Peder Pedersen,APS,1822,International
Peter Poletica,APS,1822,International
Condy Raguet,APS,1822,Resident
Gottlob E. Schultze,APS,1822,International
Jons Svanberg,APS,1822,International
Lardner Vanuxem,APS,1822,Resident
Joseph Bonaparte,APS,1823,International
Lucien Bonaparte,APS,1823,International
Benjamin H. Coates,APS,1823,Resident
William B. Collyer,APS,1823,International
James F. Cooper,APS,1823,Resident
William Darlington,APS,1823,Resident
Gaspard Deabbate,APS,1823,International
Jean M. Duponceau,APS,1823,International
Samuel Jackson,APS,1823,Resident
Jason O'B Lawrence,APS,1823,Resident
Sir William Lawrence,APS,1823,International
Stephen H. Long,APS,1823,Resident
Paul de Lovenorn,APS,1823,International
William J. Macneven,APS,1823,Resident
Baron Charles E Coquebert de Mountbret,APS,1823,International
John Plitt,APS,1823,Resident
Heinrich C. Schumacher,APS,1823,International
Count de Joseph B. Survilliers,APS,1823,Resident
Nathaniel A. Ware,APS,1823,Resident
Charles Lucien Bonaparte,APS,1824,International
Heinrich J. Klaproth,APS,1824,International
Ivan Krusenstern,APS,1824,International
Severin Lorich,APS,1824,International
Joseph B. McKean,APS,1824,Resident
Alexander Pearson,APS,1824,International
Henry Seybert,APS,1824,Resident
Moses Stuart,APS,1824,Resident
Conrad J. Temminck,APS,1824,International
Charles N. Bancker,APS,1825,Resident
John J. Bigsby,APS,1825,International
Thomas Cadwalader,APS,1825,Resident
Comte de Andre F. Miot,APS,1825,International
Pierre J.M. Flourens,APS,1825,International
John D. Godman,APS,1825,Resident
Joseph R. Ingersoll,APS,1825,Resident
John K. Kane,APS,1825,Resident
Count John Laval,APS,1825,International
Jos_ da Silva Lisboa,APS,1825,International
Edward Livingston,APS,1825,Resident
Comte Francois P. Real,APS,1825,International
Count Nicholas Rumiantzov,APS,1825,International
Philip Tidyman,APS,1825,Resident
Lewis Cass,APS,1826,Resident
Samuel Humphreys,APS,1826,Resident
"Jakob, Grefve Graberg af Hemso",APS,1826,International
Pablo de la Llave,APS,1826,International
William McIlvaine,APS,1826,Resident
Charles D. Meigs,APS,1826,Resident
William Schaler,APS,1826,Resident
William Shaler,APS,1826,Resident
Henri C.G. de Struve,APS,1826,International
John L. Tiarks,APS,1826,International
James Brown,APS,1827,Resident
Marcus Bull,APS,1827,Resident
John W. Dalman,APS,1827,International
George Emlen,APS,1827,Resident
Joachim P.C. Giraldez,APS,1827,International
John K. Mitchell,APS,1827,Resident
Joel R. Poinsett,APS,1827,Resident
Rene La Roche,APS,1827,Resident
James Rush,APS,1827,Resident
Charles Tait,APS,1827,Resident
Honore Torombert,APS,1827,International
Noah Webster,APS,1827,Resident
John P. Wetherill,APS,1827,Resident
Giovanni M. Zecchinelli,APS,1827,International
Samuel Betton,APS,1828,Resident
Jose M. Bustamante,APS,1828,International
Jose M. Dantas,APS,1828,International
Robert E. Griffith,APS,1828,Resident
Thomas Harris,APS,1828,Resident
Henry J. Anderson,APS,1828,Resident
Isaac Lea,APS,1828,Resident
Samuel G. Morton,APS,1828,Resident
Charles Pickering,APS,1828,Resident
James Renwick,APS,1828,Resident
Jose M. Salazar,APS,1828,International
George Ticknor,APS,1828,Resident
